"authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"Carly Crays","https://yt3.ggpht.com/-CAFbu9wRgUE/AAAAAAAAAAI/AAAAAAAAAAA/ddNqjxZpJWY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCpDR_fW_bvZCcslzqLfqraQ","UCpDR_fW_bvZCcslzqLfqraQ","jf0ZtZ8CVkk","No lie, this would be fun.","No lie, this would be fun.","TRUE","none","0","2019-03-08T23:38:27.000Z","2019-03-08T23:38:27.000Z","UgyRfYgINGW6ur7suB14AaABAg",NA,NA
"<U+B85C><U+BBF8><U+C5B8><U+B2C8>RomiUnnie","https://yt3.ggpht.com/-Bauf09slZrM/AAAAAAAAAAI/AAAAAAAAAAA/Coit-y5T7cw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCMpsHka_FcvtHwBpq7VAQmQ","UCMpsHka_FcvtHwBpq7VAQmQ","jf0ZtZ8CVkk","I admire how much research Starbucks has done for profitable business in Italy..<U+0001F64A>","I admire how much research Starbucks has done for profitable business in Italy..<U+0001F64A>","TRUE","none","96","2019-03-08T23:22:02.000Z","2019-03-08T23:22:02.000Z","Ugyir04ogKJcgr5iYDF4AaABAg",NA,NA
"Kenott GT","https://yt3.ggpht.com/-yDpEVUuDr40/AAAAAAAAAAI/AAAAAAAAAAA/WLnu02H08j0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCTP4kKEK8DZxvEdSkxBMfIg","UCTP4kKEK8DZxvEdSkxBMfIg","jf0ZtZ8CVkk","I knew it was in Duomo at first I didn&#39;t know what it was I told my mother it was a Starbucks but my mother doesn&#39;t believe me I started to think is that Starbucks or rockstar games office cuz there an r logo and a star logo","I knew it was in Duomo at first I didn't know what it was I told my mother it was a Starbucks but my mother doesn't believe me I started to think is that Starbucks or rockstar games office cuz there an r logo and a star logo","TRUE","none","0","2019-03-08T23:20:31.000Z","2019-03-08T23:20:31.000Z","UgwY_2MnPVjUqx1bHHd4AaABAg",NA,NA
"Jupiter orbit","https://yt3.ggpht.com/-HJBMeWFlFgM/AAAAAAAAAAI/AAAAAAAAAAA/1jM3o-2FdQE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCunaJrIUFX673ge0gt5xchg","UCunaJrIUFX673ge0gt5xchg","jf0ZtZ8CVkk","Lol I&#39;m one of the first comments on the video. So far 92 have Commented.","Lol I'm one of the first comments on the video. So far 92 have Commented.","TRUE","none","0","2019-03-08T23:04:37.000Z","2019-03-08T23:04:37.000Z","Ugxt00YRkDFMo3jCPUl4AaABAg",NA,NA
"(((Soundafek)))","https://yt3.ggpht.com/-S2ueK9aXg-Q/AAAAAAAAAAI/AAAAAAAAAAA/PQX1N6vFOLI/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCW0PwritWvKbbIZmKQuWEdw","UCW0PwritWvKbbIZmKQuWEdw","jf0ZtZ8CVkk","It&#39;s beautiful..","It's beautiful..","TRUE","none","0","2019-03-08T22:59:06.000Z","2019-03-08T22:59:06.000Z","UgwtSfRlyvc_2qcJtil4AaABAg",NA,NA
"Glory Sky","https://yt3.ggpht.com/-BmiIPcKln4M/AAAAAAAAAAI/AAAAAAAAAAA/ne3rRWYLkrc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC0UgLA_oyUg2CwSihvUJIPQ","UC0UgLA_oyUg2CwSihvUJIPQ","jf0ZtZ8CVkk","It&#39;s only 1 Starbucks bc Italy is just that good!","It's only 1 Starbucks bc Italy is just that good!","TRUE","none","4","2019-03-08T22:44:37.000Z","2019-03-08T22:44:37.000Z","Ugyx7n2VfiattN83Fj94AaABAg",NA,NA
"chococatchristi","https://yt3.ggpht.com/-ESiDSLFNsbA/AAAAAAAAAAI/AAAAAAAAAAA/lqEDLT1F2zE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCyx-o3456PGVkR6DxBgvGUA","UCyx-o3456PGVkR6DxBgvGUA","jf0ZtZ8CVkk","Now that’s quality coffee","Now that’s quality coffee","TRUE","none","0","2019-03-08T22:07:20.000Z","2019-03-08T22:07:20.000Z","UgzDoECRx54K074kBQp4AaABAg",NA,NA
"Jeremiah White","https://yt3.ggpht.com/-nIqw4ys5SCE/AAAAAAAAAAI/AAAAAAAAAAA/b8qjIHtyL9M/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCylZL1BCK8k-nV8cZulvyFQ","UCylZL1BCK8k-nV8cZulvyFQ","jf0ZtZ8CVkk","Cool a Starbucks that has quality drinks. <br /><br /><br /><br /><br /><br /><br />NICE!","Cool a Starbucks that has quality drinks. 






NICE!","TRUE","none","0","2019-03-08T21:52:49.000Z","2019-03-08T21:52:49.000Z","Ugyby7wI-AHeSwLpRUt4AaABAg",NA,NA
"Jago Gonzalez","https://yt3.ggpht.com/-mib7PNcXOSM/AAAAAAAAAAI/AAAAAAAAAAA/npQo7gVmj68/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC4SdDhK16ijQoVL-1Xl8DMg","UC4SdDhK16ijQoVL-1Xl8DMg","jf0ZtZ8CVkk","every white girls bucket list destination <U+0001F923><U+0001F602>","every white girls bucket list destination <U+0001F923><U+0001F602>","TRUE","none","0","2019-03-08T21:40:12.000Z","2019-03-08T21:40:12.000Z","Ugw5EpRd6ETOIqXMROJ4AaABAg",NA,NA
"Francesca Nardone","https://yt3.ggpht.com/-H0O4BI_45Xs/AAAAAAAAAAI/AAAAAAAAAAA/KKak9GO35ow/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCr2dh1F5LABeHcANar91uVw","UCr2dh1F5LABeHcANar91uVw","jf0ZtZ8CVkk","it&#39;s NOT the only one there&#39;s another one in San Babila<U+0001F44D>","it's NOT the only one there's another one in San Babila<U+0001F44D>","TRUE","none","6","2019-03-08T21:34:24.000Z","2019-03-08T21:34:24.000Z","Ugzj_FBDFAK0yOPk1QB4AaABAg",NA,NA
